Concurso,Data Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Ganhadores 7 acertos ,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
438,28/08/2023,5,5,3,0,2,4,7,0,,"R$0,00",0,"R$0,00",81,"R$727,60",1085,"R$54,31",9417,"R$5,00","R$3.374.683,07","R$1.014.975,00","R$3.500.000,00",
439,30/08/2023,3,4,2,7,6,5,9,0,,"R$0,00",3,"R$11.745,96",79,"R$637,21",1090,"R$46,18",9212,"R$5,00","R$3.503.891,31","R$880.412,50","R$3.600.000,00",
440,01/09/2023,8,8,2,5,4,8,8,0,,"R$0,00",5,"R$7.562,49",67,"R$806,23",954,"R$56,62",8544,"R$5,00","R$3.642.538,84","R$929.270,00","R$3.800.000,00",
441,04/09/2023,2,4,4,3,8,6,7,0,,"R$0,00",7,"R$5.776,33",98,"R$589,42",1366,"R$42,28",10605,"R$5,00","R$3.790.804,20","R$1.010.642,50","R$4.000.000,00",
442,06/09/2023,5,3,8,8,7,7,0,0,,"R$0,00",1,"R$37.235,01",48,"R$1.108,18",799,"R$66,57",8015,"R$5,00","R$3.927.335,15","R$910.482,50","R$4.100.000,00",
443,08/09/2023,2,2,3,6,1,3,9,0,,"R$0,00",2,"R$14.286,20",43,"R$949,24",911,"R$44,80",7646,"R$5,00","R$4.032.104,32","R$715.912,50","R$4.200.000,00",
444,11/09/2023,0,4,6,3,8,1,2,0,,"R$0,00",1,"R$38.885,40",66,"R$841,67",898,"R$61,86",8254,"R$5,00","R$4.174.684,58","R$949.497,50","R$4.300.000,00",
445,13/09/2023,0,3,6,1,3,9,3,0,,"R$0,00",2,"R$17.326,10",53,"R$934,02",883,"R$56,06",8224,"R$5,00","R$4.301.744,27","R$856.150,00","R$4.400.000,00",
446,15/09/2023,7,6,0,8,3,8,8,0,,"R$0,00",0,"R$0,00",57,"R$945,86",801,"R$67,30",7956,"R$5,00","R$4.477.869,69","R$920.897,50","R$4.600.000,00",
447,18/09/2023,6,6,8,7,6,6,0,0,,"R$0,00",6,"R$7.719,21",79,"R$837,52",1192,"R$55,50",9391,"R$5,00","R$4.647.698,79","R$1.125.842,50","R$4.700.000,00",
448,20/09/2023,3,4,1,6,4,0,8,0,,"R$0,00",1,"R$39.697,33",62,"R$914,68",1020,"R$55,59",9305,"R$5,00","R$4.793.261,96","R$979.457,50","R$4.900.000,00",
449,22/09/2023,3,6,5,0,5,3,5,0,,"R$0,00",2,"R$21.571,46",61,"R$1.010,37",1095,"R$56,28",9927,"R$5,00","R$4.951.457,16","R$1.062.330,00","R$5.100.000,00",
450,25/09/2023,0,6,5,9,8,1,8,0,,"R$0,00",1,"R$43.265,91",67,"R$922,51",940,"R$65,75",9300,"R$5,00","R$5.110.101,44","R$1.057.800,00","R$5.200.000,00",
451,27/09/2023,6,0,5,4,7,6,7,0,,"R$0,00",1,"R$42.361,43",55,"R$1.100,29",1006,"R$60,15",9669,"R$5,00","R$5.265.430,76","R$1.042.185,00","R$5.400.000,00",
452,29/09/2023,4,4,7,5,9,0,3,0,,"R$0,00",2,"R$23.097,63",57,"R$1.157,77",1055,"R$62,55",10272,"R$5,00","R$5.434.815,67","R$1.133.367,50","R$5.500.000,00",
453,02/10/2023,8,2,8,9,7,4,6,0,,"R$0,00",0,"R$0,00",62,"R$1.094,37",1060,"R$64,01",10153,"R$5,00","R$5.656.464,81","R$1.160.572,50","R$5.800.000,00",
454,04/10/2023,7,4,2,3,2,2,9,0,,"R$0,00",3,"R$15.245,05",70,"R$933,37",1312,"R$49,79",11115,"R$5,00","R$5.824.168,44","R$1.132.982,50","R$6.000.000,00",
455,06/10/2023,8,7,5,4,9,9,5,0,,"R$0,00",2,"R$27.420,05",65,"R$1.205,27",1303,"R$60,12",11852,"R$5,00","R$6.025.253,83","R$1.341.515,00","R$6.200.000,00",
456,09/10/2023,2,0,8,7,7,0,7,0,,"R$0,00",4,"R$13.196,19",81,"R$930,94",1228,"R$61,40",12061,"R$5,00","R$6.218.803,61","R$1.298.770,00","R$6.400.000,00",
457,11/10/2023,4,7,8,0,9,0,0,0,,"R$0,00",0,"R$0,00",61,"R$1.127,86",956,"R$71,96",9364,"R$5,00","R$6.443.555,26","R$1.166.060,00","R$6.600.000,00",
458,13/10/2023,4,7,3,4,0,1,0,0,,"R$0,00",1,"R$38.658,90",62,"R$890,75",903,"R$61,15",8452,"R$5,00","R$6.585.310,88","R$946.805,00","R$6.700.000,00",
459,16/10/2023,9,3,7,0,8,5,2,0,,"R$0,00",5,"R$9.771,15",85,"R$821,10",1149,"R$60,74",10365,"R$5,00","R$6.764.451,48","R$1.192.890,00","R$7.000.000,00",
460,18/10/2023,3,2,6,8,3,7,2,0,,"R$0,00",3,"R$15.701,33",78,"R$862,71",1164,"R$57,81",10445,"R$5,00","R$6.937.166,57","R$1.155.327,50","R$7.100.000,00",
461,20/10/2023,6,1,3,2,5,2,8,0,,"R$0,00",2,"R$25.297,03",92,"R$785,62",1346,"R$53,69",11667,"R$5,00","R$7.122.685,65","R$1.246.097,50","R$7.300.000,00",
462,23/10/2023,6,8,5,5,8,9,6,0,,"R$0,00",2,"R$25.919,59",81,"R$914,27",1111,"R$66,65",10559,"R$5,00","R$7.312.768,23","R$1.260.672,50","R$7.500.000,00",
463,25/10/2023,6,6,8,1,9,6,4,0,,"R$0,00",4,"R$11.204,95",89,"R$719,41",1388,"R$46,12",11174,"R$5,00","R$7.477.117,53","R$1.113.552,50","R$7.600.000,00",
464,27/10/2023,7,7,8,4,7,1,6,0,,"R$0,00",2,"R$24.877,35",85,"R$836,21",1164,"R$61,06",11237,"R$5,00","R$7.659.554,70","R$1.222.697,50","R$7.800.000,00",
465,30/10/2023,1,6,1,0,8,5,8,0,,"R$0,00",4,"R$12.487,56",121,"R$589,73",1436,"R$49,69",12144,"R$5,00","R$7.842.707,66","R$1.237.455,00","R$8.000.000,00",
466,01/11/2023,3,2,0,6,3,6,3,0,,"R$0,00",8,"R$5.687,54",86,"R$755,81",1159,"R$56,08",10882,"R$5,00","R$8.009.545,13","R$1.125.135,00","R$8.100.000,00",
467,03/11/2023,4,9,0,7,4,1,0,1,SAO PAULO/SP,"R$8.203.359,85",12,"R$4.404,78",105,"R$719,14",1390,"R$54,32",11178,"R$5,00","R$0,00","R$1.290.180,00","R$100.000,00",
468,06/11/2023,3,5,3,4,5,6,6,0,,"R$0,00",1,"R$19.777,36",60,"R$470,88",940,"R$30,05",4827,"R$5,00","R$72.521,89","R$490.175,00","R$200.000,00",
469,08/11/2023,9,9,6,5,4,6,8,0,,"R$0,00",2,"R$8.572,60",29,"R$844,59",436,"R$56,17",3802,"R$5,00","R$135.389,75","R$420.525,00","R$250.000,00",
470,10/11/2023,3,1,1,1,1,5,8,0,,"R$0,00",2,"R$8.784,32",26,"R$965,30",578,"R$43,42",4589,"R$5,00","R$199.809,15","R$438.905,00","R$270.000,00",
471,13/11/2023,4,9,3,3,0,4,6,0,,"R$0,00",2,"R$9.225,80",25,"R$1.054,37",408,"R$64,60",3723,"R$5,00","R$267.467,00","R$448.315,00","R$300.000,00",
472,17/11/2023,8,7,4,8,6,8,2,0,,"R$0,00",1,"R$20.164,52",38,"R$758,06",413,"R$69,74",4222,"R$5,00","R$341.406,38","R$491.702,50","R$400.000,00",
473,20/11/2023,5,0,0,8,4,9,4,0,,"R$0,00",0,"R$0,00",18,"R$1.197,58",286,"R$75,37",3056,"R$5,00","R$411.825,12","R$366.760,00","R$450.000,00",
474,22/11/2023,1,4,5,6,7,8,5,0,,"R$0,00",3,"R$5.141,50",99,"R$222,57",480,"R$45,90",3902,"R$5,00","R$468.384,00","R$383.875,00","R$500.000,00",
475,24/11/2023,5,8,1,8,2,1,0,0,,"R$0,00",1,"R$17.130,07",25,"R$978,86",384,"R$63,72",3489,"R$5,00","R$531.196,41","R$416.582,50","R$600.000,00",
476,27/11/2023,9,3,3,6,9,4,5,0,,"R$0,00",0,"R$0,00",23,"R$1.109,12",451,"R$56,56",4101,"R$5,00","R$614.529,74","R$439.610,00","R$700.000,00",
477,29/11/2023,7,2,4,6,1,9,3,0,,"R$0,00",0,"R$0,00",33,"R$710,63",454,"R$51,65",3638,"R$5,00","R$691.138,06","R$402.607,50","R$800.000,00",
478,01/12/2023,2,7,1,4,2,5,7,0,,"R$0,00",2,"R$9.440,80",31,"R$870,11",638,"R$42,27",5050,"R$5,00","R$760.374,63","R$473.067,50","R$850.000,00",
479,04/12/2023,5,8,0,2,7,4,1,0,,"R$0,00",2,"R$9.726,58",36,"R$771,95",446,"R$62,30",3996,"R$5,00","R$831.705,99","R$473.467,50","R$900.000,00",
480,06/12/2023,1,2,5,4,4,8,6,0,,"R$0,00",1,"R$18.075,50",49,"R$526,98",548,"R$47,12",5053,"R$5,00","R$897.983,20","R$455.392,50","R$1.000.000,00",
481,08/12/2023,2,8,0,1,7,4,3,0,,"R$0,00",2,"R$9.764,68",55,"R$507,25",590,"R$47,28",4857,"R$5,00","R$969.593,82","R$485.072,50","R$1.100.000,00",
482,11/12/2023,1,5,2,0,9,3,7,0,,"R$0,00",1,"R$21.357,10",59,"R$517,12",690,"R$44,21",5563,"R$5,00","R$1.047.906,86","R$533.370,00","R$1.150.000,00",
483,13/12/2023,3,0,4,9,1,4,1,0,,"R$0,00",1,"R$19.689,81",29,"R$969,94",474,"R$59,34",3959,"R$5,00","R$1.120.103,69","R$478.240,00","R$1.200.000,00",
484,15/12/2023,4,5,9,1,5,9,9,0,,"R$0,00",3,"R$6.767,52",40,"R$725,09",487,"R$59,55",4696,"R$5,00","R$1.194.548,47","R$500.202,50","R$1.300.000,00",
485,18/12/2023,4,6,1,2,9,4,1,0,,"R$0,00",0,"R$0,00",31,"R$980,91",604,"R$50,34",4778,"R$5,00","R$1.293.884,46","R$522.750,00","R$1.350.000,00",
486,20/12/2023,7,3,4,8,7,7,1,0,,"R$0,00",1,"R$21.849,17",28,"R$1.114,75",512,"R$60,96",5512,"R$5,00","R$1.373.999,26","R$543.592,50","R$1.450.000,00",
487,22/12/2023,6,1,5,2,3,4,9,0,,"R$0,00",1,"R$23.850,36",58,"R$587,44",672,"R$50,70",5639,"R$5,00","R$1.461.451,94","R$589.022,50","R$1.500.000,00",
488,27/12/2023,5,2,7,2,5,0,2,0,,"R$0,00",1,"R$27.630,03",51,"R$773,95",645,"R$61,19",6012,"R$5,00","R$1.562.764,81","R$676.362,50","R$1.600.000,00",
489,29/12/2023,8,7,1,3,7,5,0,0,,"R$0,00",1,"R$25.869,79",46,"R$803,40",624,"R$59,22",5829,"R$5,00","R$1.657.623,50","R$635.580,00","R$1.700.000,00",
490,03/01/2024,4,6,9,1,7,3,4,0,,"R$0,00",2,"R$16.970,38",58,"R$835,97",866,"R$55,98",7468,"R$5,00","R$1.782.079,01","R$831.800,00","R$1.900.000,00",
491,05/01/2024,2,7,9,7,3,7,6,0,,"R$0,00",1,"R$29.824,92",35,"R$1.217,34",829,"R$51,39",7136,"R$5,00","R$1.891.440,44","R$737.547,50","R$2.000.000,00",
492,08/01/2024,1,0,2,7,3,4,3,0,,"R$0,00",3,"R$9.749,42",65,"R$642,81",925,"R$45,17",7054,"R$5,00","R$1.998.685,08","R$723.932,50","R$2.100.000,00",
493,10/01/2024,0,0,7,5,6,0,2,0,,"R$0,00",0,"R$0,00",32,"R$1.108,94",519,"R$68,37",4909,"R$5,00","R$2.114.608,37","R$602.352,50","R$2.200.000,00",
494,12/01/2024,2,4,0,9,7,3,5,1,CUBATAO/SP,"R$2.215.537,25",5,"R$5.504,99",70,"R$561,73",775,"R$50,73",6712,"R$5,00","R$0,00","R$682.127,50","R$100.000,00",
495,15/01/2024,6,1,5,4,2,2,7,0,,"R$0,00",1,"R$16.136,42",22,"R$1.047,81",394,"R$58,50",3846,"R$5,00","R$59.169,11","R$398.870,00","R$150.000,00",
496,17/01/2024,1,9,9,0,8,5,6,0,,"R$0,00",2,"R$7.303,02",22,"R$948,44",362,"R$57,64",3275,"R$5,00","R$112.724,76","R$358.662,50","R$200.000,00",
497,19/01/2024,4,5,8,7,4,7,0,0,,"R$0,00",1,"R$15.396,75",22,"R$999,78",395,"R$55,68",3367,"R$5,00","R$169.180,86","R$377.095,00","R$250.000,00",
498,22/01/2024,9,3,8,3,9,4,5,0,,"R$0,00",2,"R$8.246,91",29,"R$812,50",337,"R$69,91",3592,"R$5,00","R$229.660,35","R$403.792,50","R$300.000,00",
499,24/01/2024,8,6,1,4,1,8,5,0,,"R$0,00",1,"R$15.184,89",22,"R$986,03",366,"R$59,26",3132,"R$5,00","R$285.340,76","R$369.730,00","R$320.000,00",
500,26/01/2024,7,2,7,4,3,0,4,0,,"R$0,00",0,"R$0,00",23,"R$1.036,24",340,"R$70,09",3601,"R$5,00","R$363.199,69","R$408.065,00","R$450.000,00",
501,29/01/2024,0,7,6,6,5,8,9,0,,"R$0,00",0,"R$0,00",32,"R$771,32",567,"R$43,53",4363,"R$5,00","R$443.830,00","R$429.907,50","R$520.000,00",
502,31/01/2024,1,3,8,2,0,0,8,0,,"R$0,00",0,"R$0,00",37,"R$628,97",439,"R$53,01",3778,"R$5,00","R$519.852,77","R$401.470,00","R$600.000,00",
503,02/02/2024,1,8,4,4,3,0,9,0,,"R$0,00",1,"R$17.024,31",37,"R$657,30",508,"R$47,87",4153,"R$5,00","R$582.277,19","R$421.917,50","R$650.000,00",
504,05/02/2024,8,3,7,1,4,9,5,0,,"R$0,00",1,"R$18.933,11",35,"R$772,77",426,"R$63,49",3975,"R$5,00","R$651.699,21","R$461.800,00","R$700.000,00",
505,07/02/2024,9,7,6,2,0,5,3,0,,"R$0,00",1,"R$17.164,52",35,"R$700,59",382,"R$64,19",3597,"R$5,00","R$714.635,95","R$418.585,00","R$750.000,00",
506,09/02/2024,1,9,2,7,8,9,4,0,,"R$0,00",3,"R$6.066,73",43,"R$604,65",576,"R$45,13",4571,"R$5,00","R$781.374,02","R$452.572,50","R$800.000,00",
507,14/02/2024,9,0,8,0,0,4,3,0,,"R$0,00",1,"R$18.666,48",10,"R$1.866,65",375,"R$71,11",3760,"R$5,00","R$849.817,95","R$453.462,50","R$900.000,00",
508,16/02/2024,0,4,6,6,0,5,9,0,,"R$0,00",4,"R$4.563,09",26,"R$1.002,87",451,"R$57,81",4292,"R$5,00","R$916.744,99","R$450.500,00","R$950.000,00",
509,19/02/2024,9,4,4,9,5,6,3,0,,"R$0,00",0,"R$0,00",25,"R$1.112,57",441,"R$63,07",4244,"R$5,00","R$1.007.605,93","R$476.700,00","R$1.100.000,00",
510,21/02/2024,0,8,6,4,3,6,9,0,,"R$0,00",0,"R$0,00",36,"R$710,88",495,"R$51,70",4380,"R$5,00","R$1.091.206,81","R$444.090,00","R$1.150.000,00",
511,23/02/2024,6,2,1,2,8,4,7,0,,"R$0,00",6,"R$3.413,67",27,"R$1.083,70",523,"R$55,94",4727,"R$5,00","R$1.166.310,01","R$504.502,50","R$1.200.000,00",
512,26/02/2024,5,9,8,0,0,4,9,0,,"R$0,00",0,"R$0,00",29,"R$1.038,65",463,"R$65,05",4158,"R$5,00","R$1.264.707,28","R$511.180,00","R$1.300.000,00",
513,28/02/2024,4,5,6,4,4,6,2,0,,"R$0,00",2,"R$9.053,86",29,"R$892,00",391,"R$66,15",4044,"R$5,00","R$1.331.104,86","R$444.462,50","R$1.400.000,00",
514,01/03/2024,9,4,9,6,3,0,1,0,,"R$0,00",3,"R$6.768,23",40,"R$725,16",470,"R$61,71",4281,"R$5,00","R$1.405.557,71","R$495.462,50","R$1.500.000,00",
515,04/03/2024,5,1,4,3,2,3,2,0,,"R$0,00",1,"R$23.170,24",33,"R$1.003,04",514,"R$64,39",4964,"R$5,00","R$1.490.517,95","R$566.295,00","R$1.600.000,00",
516,06/03/2024,8,5,0,7,8,0,1,0,,"R$0,00",2,"R$10.588,07",25,"R$1.210,06",420,"R$72,02",4372,"R$5,00","R$1.568.166,15","R$515.657,50","R$1.650.000,00",
517,08/03/2024,0,3,3,2,4,9,2,0,,"R$0,00",0,"R$0,00",36,"R$919,18",601,"R$55,05",5496,"R$5,00","R$1.676.267,16","R$572.285,00","R$1.750.000,00",
518,11/03/2024,5,9,2,4,7,0,4,0,,"R$0,00",0,"R$0,00",31,"R$1.072,00",492,"R$67,54",4979,"R$5,00","R$1.784.828,04","R$568.497,50","R$1.850.000,00",
519,13/03/2024,1,8,7,3,8,0,5,0,,"R$0,00",1,"R$20.492,38",35,"R$836,42",436,"R$67,14",4388,"R$5,00","R$1.859.968,08","R$500.820,00","R$1.900.000,00",
520,15/03/2024,1,9,8,1,4,5,2,0,,"R$0,00",2,"R$11.603,47",48,"R$690,68",614,"R$53,99",5610,"R$5,00","R$1.945.062,35","R$574.552,50","R$2.000.000,00",
521,18/03/2024,5,6,4,7,7,5,3,0,,"R$0,00",1,"R$26.050,97",47,"R$791,82",629,"R$59,16",5726,"R$5,00","R$2.040.585,48","R$638.372,50","R$2.100.000,00",
522,20/03/2024,6,0,2,3,3,7,1,0,,"R$0,00",1,"R$22.574,88",30,"R$1.074,99",513,"R$62,86",4928,"R$5,00","R$2.123.361,95","R$552.800,00","R$2.200.000,00",
523,22/03/2024,1,7,4,6,3,6,8,0,,"R$0,00",1,"R$25.090,79",50,"R$716,87",757,"R$47,35",6187,"R$5,00","R$2.215.361,90","R$622.595,00","R$2.300.000,00",
524,25/03/2024,1,7,6,7,2,0,2,0,,"R$0,00",1,"R$26.581,11",61,"R$622,50",715,"R$53,10",6256,"R$5,00","R$2.312.830,90","R$656.132,50","R$2.400.000,00",
525,27/03/2024,2,9,6,1,2,7,2,0,,"R$0,00",1,"R$23.994,56",41,"R$836,04",772,"R$44,40",6478,"R$5,00","R$2.400.811,93","R$601.867,50","R$2.500.000,00",
526,01/04/2024,2,7,6,6,9,1,9,0,,"R$0,00",4,"R$7.512,01",55,"R$780,46",827,"R$51,90",7234,"R$5,00","R$2.510.991,63","R$743.580,00","R$2.600.000,00",
527,03/04/2024,1,3,0,9,6,4,3,1,JOINVILLE/SC,"R$2.597.535,29",0,"R$0,00",54,"R$624,38",713,"R$47,28",5860,"R$5,00","R$23.601,65","R$586.107,50","R$100.000,00",
528,05/04/2024,6,5,3,2,8,0,2,0,,"R$0,00",0,"R$0,00",23,"R$939,62",304,"R$71,08",3094,"R$5,00","R$94.200,68","R$368.040,00","R$150.000,00",
529,08/04/2024,2,6,4,6,5,9,6,0,,"R$0,00",1,"R$14.553,19",15,"R$1.386,01",363,"R$57,27",3429,"R$5,00","R$147.563,34","R$359.277,50","R$200.000,00",
530,10/04/2024,2,5,3,9,4,1,0,0,,"R$0,00",0,"R$0,00",31,"R$605,46",398,"R$47,15",3192,"R$5,00","R$208.879,98","R$325.467,50","R$250.000,00",
531,12/04/2024,1,1,5,2,6,3,1,0,,"R$0,00",2,"R$7.104,66",24,"R$845,79",419,"R$48,44",3678,"R$5,00","R$260.982,80","R$354.595,00","R$300.000,00",
532,15/04/2024,5,1,4,4,2,8,2,0,,"R$0,00",0,"R$0,00",26,"R$836,27",349,"R$62,30",3288,"R$5,00","R$332.010,74","R$372.305,00","R$400.000,00",
533,17/04/2024,9,3,2,8,3,0,1,0,,"R$0,00",0,"R$0,00",19,"R$1.037,99",279,"R$70,68",2860,"R$5,00","R$396.437,35","R$336.285,00","R$450.000,00",
534,19/04/2024,0,2,5,1,7,5,8,0,,"R$0,00",6,"R$2.446,53",42,"R$499,29",456,"R$45,98",3726,"R$5,00","R$450.263,15","R$365.470,00","R$500.000,00",
535,22/04/2024,4,5,2,0,0,7,9,0,,"R$0,00",2,"R$7.486,15",24,"R$891,20",389,"R$54,98",3473,"R$5,00","R$505.162,91","R$368.992,50","R$550.000,00",
536,24/04/2024,2,8,1,3,8,8,0,0,,"R$0,00",1,"R$13.780,87",17,"R$1.158,05",311,"R$63,30",3240,"R$5,00","R$555.693,29","R$340.130,00","R$600.000,00",
537,26/04/2024,3,2,8,6,8,1,0,0,,"R$0,00",0,"R$0,00",20,"R$1.132,67",367,"R$61,72",3464,"R$5,00","R$629.696,30","R$388.335,00","R$650.000,00",
538,29/04/2024,1,5,6,2,7,0,8,0,,"R$0,00",1,"R$16.850,97",25,"R$962,91",465,"R$51,76",3966,"R$5,00","R$691.486,30","R$415.952,50","R$750.000,00",
539,03/05/2024,5,8,7,8,3,8,2,0,,"R$0,00",0,"R$0,00",28,"R$1.067,00",454,"R$65,80",4325,"R$5,00","R$789.084,34","R$509.342,50","R$850.000,00",
540,06/05/2024,5,2,5,4,7,3,9,0,,"R$0,00",3,"R$6.546,79",40,"R$701,44",630,"R$44,53",4967,"R$5,00","R$861.101,73","R$488.780,00","R$900.000,00",
541,08/05/2024,8,1,7,4,5,7,6,0,,"R$0,00",0,"R$0,00",34,"R$747,27",432,"R$58,81",3763,"R$5,00","R$944.100,32","R$434.135,00","R$950.000,00",
542,10/05/2024,8,5,1,2,1,1,1,0,,"R$0,00",1,"R$18.270,31",32,"R$815,63",464,"R$56,25",3896,"R$5,00","R$1.011.091,98","R$446.327,50","R$1.100.000,00",
543,13/05/2024,5,0,2,4,6,1,1,0,,"R$0,00",3,"R$6.950,31",53,"R$562,01",523,"R$56,95",4476,"R$5,00","R$1.087.547,35","R$509.712,50","R$1.150.000,00",
544,15/05/2024,4,9,8,8,1,0,3,0,,"R$0,00",0,"R$0,00",29,"R$898,81",391,"R$66,66",3537,"R$5,00","R$1.172.696,61","R$441.652,50","R$1.250.000,00",
545,17/05/2024,8,2,1,1,0,8,0,0,,"R$0,00",5,"R$3.954,37",65,"R$434,54",645,"R$43,79",4802,"R$5,00","R$1.245.194,22","R$489.765,00","R$1.300.000,00",
546,20/05/2024,4,0,9,5,2,8,3,0,,"R$0,00",1,"R$20.222,50",28,"R$1.031,76",424,"R$68,13",4213,"R$5,00","R$1.319.344,90","R$492.872,50","R$1.350.000,00",
547,22/05/2024,5,7,3,6,8,2,1,0,,"R$0,00",0,"R$0,00",34,"R$767,95",477,"R$54,73",4007,"R$5,00","R$1.404.641,61","R$447.760,00","R$1.450.000,00",
548,24/05/2024,4,7,0,3,5,4,3,0,,"R$0,00",1,"R$21.939,08",27,"R$1.160,79",574,"R$54,60",5023,"R$5,00","R$1.485.085,83","R$539.927,50","R$1.550.000,00",
549,27/05/2024,5,8,4,7,0,2,8,0,,"R$0,00",4,"R$5.812,48",42,"R$790,81",531,"R$62,55",4851,"R$5,00","R$1.570.335,78","R$566.742,50","R$1.650.000,00",
550,29/05/2024,4,8,8,8,3,3,2,0,,"R$0,00",0,"R$0,00",25,"R$1.228,14",441,"R$69,62",4387,"R$5,00","R$1.670.635,48","R$522.782,50","R$1.700.000,00",
551,31/05/2024,4,5,7,2,6,2,5,0,,"R$0,00",0,"R$0,00",32,"R$903,92",539,"R$53,66",4569,"R$5,00","R$1.765.127,25","R$497.535,00","R$1.800.000,00",
552,03/06/2024,3,4,1,3,6,8,0,0,,"R$0,00",1,"R$23.103,11",44,"R$750,10",588,"R$56,12",5707,"R$5,00","R$1.849.842,77","R$573.390,00","R$1.900.000,00",
553,05/06/2024,5,2,7,5,0,8,5,0,,"R$0,00",2,"R$10.611,28",37,"R$819,40",469,"R$64,64",4957,"R$5,00","R$1.927.660,25","R$523.425,00","R$2.000.000,00",
554,07/06/2024,9,5,8,2,8,6,9,0,,"R$0,00",2,"R$13.006,13",44,"R$844,55",580,"R$64,06",5640,"R$5,00","R$2.023.042,52","R$636.530,00","R$2.100.000,00",
555,10/06/2024,4,0,0,8,9,7,2,0,,"R$0,00",3,"R$9.507,75",36,"R$1.131,87",614,"R$66,36",6218,"R$5,00","R$2.127.629,72","R$698.362,50","R$2.200.000,00",
556,12/06/2024,1,7,0,2,3,7,0,0,,"R$0,00",0,"R$0,00",48,"R$761,92",654,"R$55,92",6661,"R$5,00","R$2.247.100,49","R$639.265,00","R$2.300.000,00",
557,14/06/2024,0,1,7,9,2,0,5,0,,"R$0,00",1,"R$28.722,29",54,"R$759,84",746,"R$55,00",6663,"R$5,00","R$2.352.417,15","R$707.867,50","R$2.400.000,00",
558,17/06/2024,5,5,1,0,3,4,0,0,,"R$0,00",2,"R$14.714,30",46,"R$913,93",695,"R$60,49",6681,"R$5,00","R$2.460.322,27","R$723.592,50","R$2.500.000,00",
559,19/06/2024,8,6,9,2,5,9,1,0,,"R$0,00",0,"R$0,00",42,"R$860,91",535,"R$67,58",5241,"R$5,00","R$2.578.441,53","R$616.517,50","R$2.600.000,00",
560,21/06/2024,8,6,9,9,5,7,9,0,,"R$0,00",0,"R$0,00",37,"R$1.043,17",725,"R$53,23",5912,"R$5,00","R$2.704.530,55","R$661.767,50","R$2.800.000,00",
561,24/06/2024,4,8,6,0,5,6,2,0,,"R$0,00",0,"R$0,00",43,"R$985,65",699,"R$60,63",6157,"R$5,00","R$2.842.984,94","R$722.815,00","R$2.900.000,00",
562,26/06/2024,5,8,5,4,9,8,5,0,,"R$0,00",1,"R$27.468,45",42,"R$934,30",671,"R$58,48",5963,"R$5,00","R$2.943.703,02","R$672.247,50","R$3.000.000,00",
563,28/06/2024,3,4,7,4,7,3,5,0,,"R$0,00",5,"R$6.381,58",78,"R$584,39",858,"R$53,12",7547,"R$5,00","R$3.060.702,83","R$788.050,00","R$3.100.000,00",
564,01/07/2024,2,6,3,6,4,7,6,1,RIO VERDE/GO,"R$3.181.309,15",1,"R$32.892,37",93,"R$505,25",997,"R$47,13",8203,"R$5,00","R$0,00","R$817.245,00","R$100.000,00",
565,03/07/2024,6,1,5,5,1,8,7,0,,"R$0,00",1,"R$14.893,75",13,"R$1.636,67",357,"R$59,59",3193,"R$5,00","R$54.612,70","R$364.037,50","R$150.000,00",
566,05/07/2024,7,1,3,5,8,4,9,0,,"R$0,00",2,"R$7.850,15",36,"R$623,02",466,"R$48,13",3744,"R$5,00","R$112.181,02","R$388.112,50","R$180.000,00",
567,08/07/2024,4,8,5,3,4,7,1,0,,"R$0,00",0,"R$0,00",33,"R$695,62",384,"R$59,78",3584,"R$5,00","R$187.170,15","R$394.367,50","R$230.000,00",
568,10/07/2024,5,3,5,4,6,3,3,0,,"R$0,00",1,"R$14.485,18",27,"R$766,41",399,"R$51,86",3637,"R$5,00","R$240.283,20","R$360.182,50","R$300.000,00",
569,12/07/2024,2,7,7,7,2,5,5,0,,"R$0,00",2,"R$7.676,79",20,"R$1.096,68",373,"R$58,80",3899,"R$5,00","R$296.580,56","R$382.282,50","R$350.000,00",
570,15/07/2024,9,3,2,4,4,5,5,0,,"R$0,00",1,"R$15.992,29",30,"R$761,53",492,"R$46,43",3886,"R$5,00","R$355.220,92","R$396.165,00","R$400.000,00",
571,17/07/2024,8,8,6,3,7,0,8,0,,"R$0,00",0,"R$0,00",29,"R$726,16",306,"R$68,81",2999,"R$5,00","R$424.015,16","R$358.447,50","R$480.000,00",
572,19/07/2024,4,5,6,3,3,8,7,0,,"R$0,00",3,"R$5.271,05",31,"R$728,71",411,"R$54,96",3513,"R$5,00","R$481.998,12","R$387.927,50","R$530.000,00",
573,22/07/2024,6,2,0,6,4,4,4,0,,"R$0,00",0,"R$0,00",22,"R$1.049,02",382,"R$60,41",3455,"R$5,00","R$557.389,27","R$394.767,50","R$600.000,00",
574,24/07/2024,9,3,4,8,1,9,4,0,,"R$0,00",0,"R$0,00",14,"R$1.511,62",291,"R$72,72",3082,"R$5,00","R$626.521,54","R$361.002,50","R$700.000,00",
